No,ID,Name,Date Of Birth,Social ID
1,22127016,Nguyen Thi Ngoc Anh,Nu,12/12/2004,123456789
2,22127029,Le Nguyen Gia Bao,Nam,13/12/2004,123456790
3,22127036,Le Quoc Binh,Nam,01/02/2004,123456791
4,22127082,Ngo Thanh Phuong Duong,Nam,12/06/2004,123456792
5,22127086,Nguyen Lam Anh Duy,Nam,12/12/2004,123456793
6,22127087,Nguyen Quang Duy,Nam,13/12/2004,123456794
7,22127090,Van Diep Bao Duy,Nam,01/02/2004,123456795
8,22127099,Hanh Nguyen Gia Han,Nu,12/06/2004,123456796
9,22127127,Nguyen Khanh Hoang,Nam,12/12/2004,123456797
10,22127141,Ngo Hoang Nam Hung,Nam,13/12/2004,123456798
11,22127146,Dinh Nguyen Quynh Huong,Nu,01/02/2004,123456799
12,22127148,Duong Nhat Huy,Nam,12/06/2004,123456800
13,22127149,Huynh Anh Huy,Nam,12/12/2004,123456801
14,22127156,Nguyen Phuc Huy,Nam,13/12/2004,123456802
15,22127168,Truong Nhat Huy,Nam,01/02/2004,123456803
16,22127189,Pham Binh Khanh,Nam,12/06/2004,123456804
17,22127216,Nguyen Dinh Kien,Nam,12/12/2004,123456805
18,22127224,Truong Thuan Kiet,Nam,13/12/2004,123456806
19,22127234,Cao Hoang Loc,Nam,01/02/2004,123456807
20,22127237,Nguyen Van Xuan Loc,Nam,12/06/2004,123456808
21,22127241,Ho Truong Viet Long,Nam,12/12/2004,123456809
22,22127257,Pham Minh Man,Nam,13/12/2004,123456810
23,22127262,Do Luong Nhat Minh,Nam,01/02/2004,123456811
24,22127272,Pham Van Minh,Nam,12/06/2004,123456812
25,22127277,Vo Thi Hong Minh,Nu,12/12/2004,123456813
26,22127284,Le Hai Nam,Nam,13/12/2004,123456814
27,22127298,Hoang Trung Nguyen,Nam,01/02/2004,123456815
28,22127301,Nguyen Gia Nguyen,Nam,12/06/2004,123456816
29,22127314,Nguyen Hoang Nhu,Nu,12/12/2004,123456817
30,22127339,Vo Nhat Phuoc,Nam,13/12/2004,123456818
31,22127341,Nguyen The Quan,Nam,01/02/2004,123456819
32,22127348,Phan Nguyen Hoang Quan,Nam,12/06/2004,123456820
33,22127366,Le Xuan Hoang Son,Nam,12/12/2004,123456821
34,22127385,Nguyen Quoc Thang,Nam,13/12/2004,123456822
35,22127397,Nguyen Tran Duc Thien,Nam,01/02/2004,123456823
36,22127399,Vu Thai Thien,Nam,12/06/2004,123456824
37,22127401,Nguyen Quang Thong,Nam,12/12/2004,123456825
38,22127418,Nguyen Khanh Toan,Nam,13/12/2004,123456826
39,22127422,Le Thanh Minh Tri,Nam,01/02/2004,123456827
40,22127424,Nguyen Phuoc Minh Tri,Nam,12/06/2004,123456828
41,22127435,Vo Le Viet Tu,Nu,12/12/2004,123456829
42,22127445,Nguyen Lam Nha Uyen,Nu,13/12/2004,123456830
43,22127446,Nguyen Ngoc Phuong Uyen,Nu,01/02/2004,123456831
44,22127449,Mai Duc Van,Nam,12/06/2004,123456832
45,22127450,Pham Anh Van,Nam,12/12/2004,123456833
46,22127463,Nguyen Anh Vu,Nam,13/12/2004,123456834
47,22127483,Nguyen Huynh Minh Quang,Nam,01/02/2004,123456835
48,22127492,Ho Dang Phuc,Nam,12/06/2004,123456836
